ID	Type	Parent	Label	Definition	Synonym	EthnicGroup	Superpopulation	CountryOfOrigin
HANCESTRO:0750	class	reference population	Xibo in China (SGDP)	A population made up of 2 samples from Xibo individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0751	class	reference population	Yi in China (SGDP)	A population made up of 2 samples from Yi individuals recruited in China as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation East Asian.			East Asian	China
HANCESTRO:0752	class	reference population	"Chinese Dai in Xishuangbanna, China"	"A population made up of 109 samples from Chinese Dai individuals recruited in Xishuangbanna, China as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation East Asian. "	CDX	Dai	East Asian	China
HANCESTRO:0753	class	reference population	"Han Chinese in Beijing, China"	"A population made up of 112 samples from Han Chinese individuals recruited in Beijing, China as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation East Asian. "	CHB	Han Chinese	East Asian	China
HANCESTRO:0754	class	reference population	"Japanese in Tokyo, Japan"	"A population made up of 105 samples from Japanese individuals recruited in Tokyo, Japan as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation East Asian. "	JPT	Japanese	East Asian	Japan
HANCESTRO:0755	class	reference population	"Kinh in Ho Chi Minh City, Vietnam"	"A population made up of 124 samples from Kinh individuals recruited in Ho Chi Minh City, Vietnam as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation East Asian. "	KHV		East Asian|South East Asian	Vietnam
HANCESTRO:0756	class	reference population	Han Chinese South	A population made up of 171 samples from Han Chinese South individuals recruited in China as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation East Asian. 	CHS	Han Chinese	East Asian	China
HANCESTRO:0757	class	reference population	"Adygei in Caucasus, Russia (HGDP)"	"A population made up of 15 samples from Adygei individuals recruited in Caucasus, Russia as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation European."			European	Russia
HANCESTRO:0758	class	reference population	Basque in France (HGDP)	A population made up of 22 samples from Basque individuals recruited in France as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation European.			European	France
HANCESTRO:0759	class	reference population	"Bergamo Italian in Bergamo, Italy (HGDP)"	"A population made up of 10 samples from Bergamo Italian individuals recruited in Bergamo, Italy as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation European."			European	Italy
HANCESTRO:0760	class	reference population	French in France (HGDP)	A population made up of 24 samples from French individuals recruited in France as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation European.		French	European	France
HANCESTRO:0761	class	reference population	Orcadian in Orkney (HGDP)	A population made up of 13 samples from Orcadian individuals recruited in Orkney as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation European.		Orcadian	European	
HANCESTRO:0762	class	reference population	Russian in Russia (HGDP)	A population made up of 23 samples from Russian individuals recruited in Russia as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation European.		Russian	European	Russia
HANCESTRO:0763	class	reference population	Sardinian in Italy (HGDP)	A population made up of 24 samples from Sardinian individuals recruited in Italy as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation European.			European	Italy
HANCESTRO:0764	class	reference population	Tuscan in Italy (HGDP)	A population made up of 6 samples from Tuscan individuals recruited in Italy as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation European.			European	Italy
HANCESTRO:0765	class	reference population	British in England and Scotland	A population made up of 107 samples from British individuals recruited in England and Scotland as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation European. 	GBR	British	European	
HANCESTRO:0766	class	reference population	Utah residents (CEPH) with Northern and Western European ancestry	"A population made up of 184 samples from individuals resident in Utah (CEPH) with Northern and Western European ancestry recruited in Utah, USA as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation European. "	CEU	European American	European	United States
HANCESTRO:0767	class	reference population	Finnish in Finland	A population made up of 105 samples from Finnish individuals recruited in Finland as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation European. 	FIN	Finnish	European	Finland
HANCESTRO:0768	class	reference population	Iberian populations in Spain	A population made up of 162 samples from Iberian populations individuals recruited in Spain as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation European. 	IBS		European	Spain
HANCESTRO:0769	class	reference population	Toscani in Italy	A population made up of 112 samples from Toscani individuals recruited in Italy as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation European. 	TSI		European	Italy
HANCESTRO:0770	class	reference population	"Bedouin in Negev, Israel (HGDP)"	"A population made up of 44 samples from Bedouin individuals recruited in Negev, Israel as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Greater Middle Eastern  (Middle Eastern or North African or Persian)."			Greater Middle Eastern  (Middle Eastern or North African or Persian)	Israel
HANCESTRO:0771	class	reference population	"Druze in Carmel, Israel (HGDP)"	"A population made up of 40 samples from Druze individuals recruited in Carmel, Israel as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Greater Middle Eastern  (Middle Eastern or North African or Persian)."			Greater Middle Eastern  (Middle Eastern or North African or Persian)	Israel
HANCESTRO:0772	class	reference population	"Mozabite in Mzab, Algeria (HGDP)"	"A population made up of 27 samples from Mozabite individuals recruited in Mzab, Algeria as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Greater Middle Eastern  (Middle Eastern or North African or Persian). "		Mozabite	Greater Middle Eastern  (Middle Eastern or North African or Persian)	Algeria
HANCESTRO:0773	class	reference population	"Palestinian in Central, Israel (HGDP)"	"A population made up of 43 samples from Palestinian individuals recruited in Central, Israel as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Greater Middle Eastern  (Middle Eastern or North African or Persian)."		Palestinian	Greater Middle Eastern  (Middle Eastern or North African or Persian)	Israel
HANCESTRO:0774	class	reference population	Bougainville in Bougainville (HGDP)	A population made up of 11 samples from Bougainville individuals recruited in Bougainville as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.			Oceanian	Papua New Guinea
HANCESTRO:0775	class	reference population	Papuan Highlands in New Guinea (HGDP)	A population made up of 6 samples from Papuan Highlands individuals recruited in New Guinea as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.			Oceanian	Papua New Guinea
HANCESTRO:0776	class	reference population	Papuan Sepik in New Guinea (HGDP)	A population made up of 8 samples from Papuan Sepik individuals recruited in New Guinea as part of the Human Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.			Oceanian	Papua New Guinea
HANCESTRO:0777	class	reference population	Australian in Australia (SGDP)	A population made up of 2 samples from Australian individuals recruited in Australia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.			Oceanian|Aboriginal Australian	Australia
HANCESTRO:0778	class	reference population	Bougainville in Papua New Guinea (SGDP)	A population made up of 2 samples from Bougainville individuals recruited in Papua New Guinea as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.			Oceanian	Papua New Guinea
HANCESTRO:0779	class	reference population	Dusun in Brunei (SGDP)	A population made up of 2 samples from Dusun individuals recruited in Brunei as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.			Oceanian	Brunei
HANCESTRO:0780	class	reference population	Hawaiian in USA (SGDP)	A population made up of 1 samples from Hawaiian individuals recruited in USA as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.		Native Hawaiian	Oceanian	United States
HANCESTRO:0781	class	reference population	Igorot in Philippines (SGDP)	A population made up of 2 samples from Igorot individuals recruited in Philippines as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.			Oceanian	Philippines
HANCESTRO:0782	class	reference population	Maori in New Zealand (SGDP)	A population made up of 1 samples from Maori individuals recruited in New Zealand as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.			Oceanian	New Zealand
HANCESTRO:0783	class	reference population	Papuan in Papua New Guinea (SGDP)	A population made up of 15 samples from Papuan individuals recruited in Papua New Guinea as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation Oceanian.		Papua New Guinean	Oceanian	Papua New Guinea
HANCESTRO:0784	class	reference population	Balochi in Pakistan (SGDP)	A population made up of 2 samples from Balochi individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Pakistan
HANCESTRO:0785	class	reference population	Bengali in Bangladesh (SGDP)	A population made up of 2 samples from Bengali individuals recruited in Bangladesh as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Bangladesh
HANCESTRO:0786	class	reference population	Brahmin in India (SGDP)	A population made up of 2 samples from Brahmin individuals recruited in India as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	India
HANCESTRO:0787	class	reference population	Brahui in Pakistan (SGDP)	A population made up of 2 samples from Brahui individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Pakistan
HANCESTRO:0788	class	reference population	Burusho in Pakistan (SGDP)	A population made up of 2 samples from Burusho individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Pakistan
HANCESTRO:0789	class	reference population	Hazara in Pakistan (SGDP)	A population made up of 2 samples from Hazara individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Pakistan
HANCESTRO:0790	class	reference population	Irula in India (SGDP)	A population made up of 2 samples from Irula individuals recruited in India as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	India
HANCESTRO:0791	class	reference population	Kalash in Pakistan (SGDP)	A population made up of 2 samples from Kalash individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Pakistan
HANCESTRO:0792	class	reference population	Kapu in India (SGDP)	A population made up of 2 samples from Kapu individuals recruited in India as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	India
HANCESTRO:0793	class	reference population	Khonda Dora in India (SGDP)	A population made up of 1 samples from Khonda Dora individuals recruited in India as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	India
HANCESTRO:0794	class	reference population	Kusunda in Nepal (SGDP)	A population made up of 2 samples from Kusunda individuals recruited in Nepal as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Nepal
HANCESTRO:0795	class	reference population	Madiga in India (SGDP)	A population made up of 1 samples from Madiga individuals recruited in India as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	India
HANCESTRO:0796	class	reference population	Makrani in Pakistan (SGDP)	A population made up of 2 samples from Makrani individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Pakistan
HANCESTRO:0797	class	reference population	Pathan in Pakistan (SGDP)	A population made up of 2 samples from Pathan individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Pakistan
HANCESTRO:0798	class	reference population	Punjabi in Pakistan (SGDP)	A population made up of 4 samples from Punjabi individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Pakistan
HANCESTRO:0799	class	reference population	Relli in India (SGDP)	A population made up of 2 samples from Relli individuals recruited in India as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	India
HANCESTRO:0800	class	reference population	Sindhi in Pakistan (SGDP)	A population made up of 2 samples from Sindhi individuals recruited in Pakistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	Pakistan
HANCESTRO:0801	class	reference population	Yadava in India (SGDP)	A population made up of 2 samples from Yadava individuals recruited in India as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation South Asian.			South Asian	India
HANCESTRO:0802	class	reference population	Bengali in Bangladesh	A population made up of 144 samples from Bengali individuals recruited in Bangladesh as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation South Asian. 	BEB		South Asian	Bangladesh
HANCESTRO:0803	class	reference population	"Gujarati Indians in Houston, TX"	"A population made up of 113 samples from Gujarati Indians individuals recruited in Houston, TX as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation South Asian. "	GIH		South Asian	
HANCESTRO:0804	class	reference population	"Punjabi in Lahore, Pakistan"	"A population made up of 158 samples from Punjabi individuals recruited in Lahore, Pakistan as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation South Asian. "	PJL		South Asian	Pakistan
HANCESTRO:0805	class	reference population	Sri Lankan Tamil in the UK	A population made up of 128 samples from Sri Lankan Tamil individuals recruited in the UK as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation South Asian. 	STU		South Asian	
HANCESTRO:0806	class	reference population	Indian Telugu in the UK	A population made up of 118 samples from Indian Telugu individuals recruited in the UK as part of the 1000 Genomes Project. The population was assigned by the collecting project to the superpopulation South Asian. 	ITU		South Asian	
HANCESTRO:0807	class	reference population	Abkhasian in Abkhazia or Russia (SGDP)	A population made up of 2 samples from Abkhasian individuals recruited in Abkhazia or Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			Greater Middle Eastern  (Middle Eastern or North African or Persian)	Russia
HANCESTRO:0808	class	reference population	Adygei in Russia(Caucasus) (SGDP)	A population made up of 2 samples from Adygei individuals recruited in Russia(Caucasus) as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.				Russia
HANCESTRO:0809	class	reference population	Albanian in Albania (SGDP)	A population made up of 1 samples from Albanian individuals recruited in Albania as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Albanian	European	Albania
HANCESTRO:0810	class	reference population	Armenian in Armenia (SGDP)	A population made up of 2 samples from Armenian individuals recruited in Armenia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Armenian	Greater Middle Eastern  (Middle Eastern or North African or Persian)	Armenia
HANCESTRO:0811	class	reference population	Basque in France (SGDP)	A population made up of 2 samples from Basque individuals recruited in France as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			European	France
HANCESTRO:0812	class	reference population	Bedouin B in Israel(Negev) (SGDP)	A population made up of 2 samples from Bedouin B individuals recruited in Israel(Negev) as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			Greater Middle Eastern  (Middle Eastern or North African or Persian)	Israel
HANCESTRO:0813	class	reference population	Bergamo in Italy(Bergamo) (SGDP)	A population made up of 2 samples from Bergamo individuals recruited in Italy(Bergamo) as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			European	Italy
HANCESTRO:0814	class	reference population	Bulgarian in Bulgaria (SGDP)	A population made up of 2 samples from Bulgarian individuals recruited in Bulgaria as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Bulgarian	European	Bulgaria
HANCESTRO:0815	class	reference population	Chechen in Russia (SGDP)	A population made up of 1 samples from Chechen individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.				Russia
HANCESTRO:0816	class	reference population	Crete in Greece (SGDP)	A population made up of 2 samples from Crete individuals recruited in Greece as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			European	Greece
HANCESTRO:0817	class	reference population	Czech in Czechoslovakia(pre1989) (SGDP)	A population made up of 1 samples from Czech individuals recruited in Czechoslovakia(pre1989) as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Czech	European	
HANCESTRO:0818	class	reference population	Druze in Israel(Carmel) (SGDP)	A population made up of 2 samples from Druze individuals recruited in Israel(Carmel) as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			Greater Middle Eastern  (Middle Eastern or North African or Persian)	Israel
HANCESTRO:0819	class	reference population	English in England (SGDP)	A population made up of 2 samples from English individuals recruited in England as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			European	
HANCESTRO:0820	class	reference population	Estonian in Estonia (SGDP)	A population made up of 2 samples from Estonian individuals recruited in Estonia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Estonian	European	Estonia
HANCESTRO:0821	class	reference population	Finnish in Finland (SGDP)	A population made up of 3 samples from Finnish individuals recruited in Finland as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Finnish	European	Finland
HANCESTRO:0822	class	reference population	French in France (SGDP)	A population made up of 3 samples from French individuals recruited in France as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		French	European	France
HANCESTRO:0823	class	reference population	Georgian in Georgia (SGDP)	A population made up of 2 samples from Georgian individuals recruited in Georgia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Georgian	Greater Middle Eastern  (Middle Eastern or North African or Persian)	Georgia
HANCESTRO:0824	class	reference population	Greek in Greece (SGDP)	A population made up of 2 samples from Greek individuals recruited in Greece as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Greek	European	Greece
HANCESTRO:0825	class	reference population	Hungarian in Hungary (SGDP)	A population made up of 2 samples from Hungarian individuals recruited in Hungary as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Hungarian	European	Hungary
HANCESTRO:0826	class	reference population	Icelandic in Iceland (SGDP)	A population made up of 2 samples from Icelandic individuals recruited in Iceland as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Icelandic	European	Iceland
HANCESTRO:0827	class	reference population	Iranian in Iran (SGDP)	A population made up of 2 samples from Iranian individuals recruited in Iran as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Iranian	Greater Middle Eastern  (Middle Eastern or North African or Persian)	Iran
HANCESTRO:0828	class	reference population	Iraqi Jew in Iraq (SGDP)	A population made up of 2 samples from Iraqi Jew individuals recruited in Iraq as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			Greater Middle Eastern  (Middle Eastern or North African or Persian)	Iraq
HANCESTRO:0829	class	reference population	Jordanian in Jordan (SGDP)	A population made up of 3 samples from Jordanian individuals recruited in Jordan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Jordanian	Greater Middle Eastern  (Middle Eastern or North African or Persian)	Jordan
HANCESTRO:0830	class	reference population	Lezgin in Russia (SGDP)	A population made up of 2 samples from Lezgin individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.				Russia
HANCESTRO:0831	class	reference population	North Ossetian in Russia (SGDP)	A population made up of 2 samples from North Ossetian individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.				Russia
HANCESTRO:0832	class	reference population	Norwegian in Norway (SGDP)	A population made up of 1 samples from Norwegian individuals recruited in Norway as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Norwegian	European	Norway
HANCESTRO:0833	class	reference population	Orcadian in Orkney Islands (SGDP)	A population made up of 2 samples from Orcadian individuals recruited in Orkney Islands as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Orcadian	European	
HANCESTRO:0834	class	reference population	Palestinian in Israel(Central) (SGDP)	A population made up of 3 samples from Palestinian individuals recruited in Israel(Central) as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Palestinian	Greater Middle Eastern  (Middle Eastern or North African or Persian)	Israel
HANCESTRO:0835	class	reference population	Polish in Poland (SGDP)	A population made up of 1 samples from Polish individuals recruited in Poland as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Polish	European	Poland
HANCESTRO:0836	class	reference population	Russian in Russia (SGDP)	A population made up of 2 samples from Russian individuals recruited in Russia as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Russian	European	Russia
HANCESTRO:0837	class	reference population	Saami in Finland (SGDP)	A population made up of 2 samples from Saami individuals recruited in Finland as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			European	Finland
HANCESTRO:0838	class	reference population	Samaritan in Israel (SGDP)	A population made up of 1 samples from Samaritan individuals recruited in Israel as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			Greater Middle Eastern  (Middle Eastern or North African or Persian)	Israel
HANCESTRO:0839	class	reference population	Sardinian in Italy (SGDP)	A population made up of 3 samples from Sardinian individuals recruited in Italy as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			European	Italy
HANCESTRO:0840	class	reference population	Spanish in Spain (SGDP)	A population made up of 2 samples from Spanish individuals recruited in Spain as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Spanish	European	Spain
HANCESTRO:0841	class	reference population	Tajik in Tajikistan (SGDP)	A population made up of 2 samples from Tajik individuals recruited in Tajikistan as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Tajikistani		Tajikistan
HANCESTRO:0842	class	reference population	Turkish in Turkey (SGDP)	A population made up of 2 samples from Turkish individuals recruited in Turkey as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.		Turkish	Greater Middle Eastern  (Middle Eastern or North African or Persian)	Turkey
HANCESTRO:0843	class	reference population	Tuscan in Italy(Tuscany) (SGDP)	A population made up of 2 samples from Tuscan individuals recruited in Italy(Tuscany) as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			European	Italy
HANCESTRO:0844	class	reference population	Yemenite Jew in Yemen (SGDP)	A population made up of 2 samples from Yemenite Jew individuals recruited in Yemen as part of the Simons Genome Diversity Project. The population was assigned by the collecting project to the superpopulation West Eurasian.			Greater Middle Eastern  (Middle Eastern or North African or Persian)	Yemen
