?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/HANCESTRO_0455>	<http://www.w3.org/2000/01/rdf-schema#label>	"Christmas Islander"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0004>	<http://www.w3.org/2000/01/rdf-schema#label>	"ancestry category"	
<http://purl.obolibrary.org/obo/HANCESTRO_0373>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lithuanian"@en	
<http://dbpedia.org/resource/Central_Africa>	<http://www.w3.org/2000/01/rdf-schema#label>	"Central Africa"	
<http://dbpedia.org/resource/Grenada>	<http://www.w3.org/2000/01/rdf-schema#label>	"Grenada"@en	
<http://dbpedia.org/resource/Nepal>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nepal"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0317>	<http://www.w3.org/2000/01/rdf-schema#label>	"Erasmus Rucphen"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0853>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chane"	
<http://dbpedia.org/resource/Gabon>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gabon"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0017>	<http://www.w3.org/2000/01/rdf-schema#label>	"Oceanian"	
<http://purl.obolibrary.org/obo/HANCESTRO_0757>	<http://www.w3.org/2000/01/rdf-schema#label>	"Adygei in Caucasus, Russia (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0394>	<http://www.w3.org/2000/01/rdf-schema#label>	"Swiss"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0468>	<http://www.w3.org/2000/01/rdf-schema#label>	"Guamanian"@en	
<http://dbpedia.org/resource/Papua_New_Guinea>	<http://www.w3.org/2000/01/rdf-schema#label>	"Papua New Guinea"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0699>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tlingit in Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0526>	<http://www.w3.org/2000/01/rdf-schema#label>	"Burundian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0622>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pastos"@en	
<http://dbpedia.org/resource/Germany>	<http://www.w3.org/2000/01/rdf-schema#label>	"Germany"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0823>	<http://www.w3.org/2000/01/rdf-schema#label>	"Georgian in Georgia (SGDP)"	
<http://dbpedia.org/resource/Marshall_Islands>	<http://www.w3.org/2000/01/rdf-schema#label>	"Marshall Islands"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0386>	<http://www.w3.org/2000/01/rdf-schema#label>	"Russian"@en	
<http://dbpedia.org/resource/Estonia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Estonia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0498>	<http://www.w3.org/2000/01/rdf-schema#label>	"Filipino"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0407>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ecuadorian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0808>	<http://www.w3.org/2000/01/rdf-schema#label>	"Adygei in Russia(Caucasus) (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0646>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gambian in Gambia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0033>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Latin America and the Caribbean"	
<http://dbpedia.org/resource/Romania>	<http://www.w3.org/2000/01/rdf-schema#label>	"Romania"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0704>	<http://www.w3.org/2000/01/rdf-schema#label>	"Brahui in Pakistan (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0025>	<http://www.w3.org/2000/01/rdf-schema#label>	"Singaporean Chinese"	
<http://dbpedia.org/resource/Belgium>	<http://www.w3.org/2000/01/rdf-schema#label>	"Belgium"@en	
<http://dbpedia.org/resource/United_States>	<http://www.w3.org/2000/01/rdf-schema#label>	"United States"	
<http://purl.obolibrary.org/obo/HANCESTRO_0484>	<http://www.w3.org/2000/01/rdf-schema#label>	"Wallis and Futuna Islander"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0011>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sub-Saharan African"	
<http://purl.obolibrary.org/obo/HANCESTRO_0019>	<http://www.w3.org/2000/01/rdf-schema#label>	"Japanese"	
<http://purl.obolibrary.org/obo/HANCESTRO_0412>	<http://www.w3.org/2000/01/rdf-schema#label>	"Guyanese"@en	
<http://dbpedia.org/resource/Lithuania>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lithuania"@en	
<http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines>	<http://www.w3.org/2000/01/rdf-schema#label>	"Saint Vincent and the Grenadines"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0717>	<http://www.w3.org/2000/01/rdf-schema#label>	"Japanese in Japan (HGDP)"	
<http://dbpedia.org/resource/Nauru>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nauru"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0497>	<http://www.w3.org/2000/01/rdf-schema#label>	"Burmese"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0821>	<http://www.w3.org/2000/01/rdf-schema#label>	"Finnish in Finland (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0763>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sardinian in Italy (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0406>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dominican"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0703>	<http://www.w3.org/2000/01/rdf-schema#label>	"Balochi in Pakistan (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0667>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mende in Sierra Leone (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0038>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Southern Africa"	
<http://purl.obolibrary.org/obo/HANCESTRO_0024>	<http://www.w3.org/2000/01/rdf-schema#label>	"Macanese"	
<http://purl.obolibrary.org/obo/HANCESTRO_0532>	<http://www.w3.org/2000/01/rdf-schema#label>	"Equatorial Guinean"@en	
<http://dbpedia.org/resource/Mali>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mali"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0436>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Egyptian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0837>	<http://www.w3.org/2000/01/rdf-schema#label>	"Saami in Finland (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0054>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Polynesia"	
<http://purl.obolibrary.org/obo/HANCESTRO_0309>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sardinian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0741>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lahu in China (SGDP)"	
<http://dbpedia.org/resource/New_Caledonia>	<http://www.w3.org/2000/01/rdf-schema#label>	"New Caledonia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0776>	<http://www.w3.org/2000/01/rdf-schema#label>	"Papuan Sepik in New Guinea (HGDP)"	
<http://dbpedia.org/resource/Samoa>	<http://www.w3.org/2000/01/rdf-schema#label>	"Samoa"@en	
<http://dbpedia.org/resource/Botswana>	<http://www.w3.org/2000/01/rdf-schema#label>	"Botswana"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0834>	<http://www.w3.org/2000/01/rdf-schema#label>	"Palestinian in Israel(Central) (SGDP)"	
<http://dbpedia.org/resource/Madagascar>	<http://www.w3.org/2000/01/rdf-schema#label>	"Madagascar"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0545>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rwandan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0441>	<http://www.w3.org/2000/01/rdf-schema#label>	"Jordanian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0449>	<http://www.w3.org/2000/01/rdf-schema#label>	"Saudi"	
<http://purl.obolibrary.org/obo/HANCESTRO_0314>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sorb"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0754>	<http://www.w3.org/2000/01/rdf-schema#label>	"Japanese in Tokyo, Japan (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0650>	<http://www.w3.org/2000/01/rdf-schema#label>	"Luo in Kenya (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0701>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ulchi in Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0658>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yoruba in Nigeria (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0427>	<http://www.w3.org/2000/01/rdf-schema#label>	"Turks and Caicos Islander"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0619>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mixteco"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0792>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kapu in India (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0053>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Micronesia"	
<http://purl.obolibrary.org/obo/HANCESTRO_0344>	<http://www.w3.org/2000/01/rdf-schema#label>	"Albanian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0523>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beninese"@en	
<http://dbpedia.org/resource/Brazil>	<http://www.w3.org/2000/01/rdf-schema#label>	"Brazil"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0561>	<http://www.w3.org/2000/01/rdf-schema#label>	"Romanian founder"	
<http://purl.obolibrary.org/obo/HANCESTRO_0338>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tajikistani"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0569>	<http://www.w3.org/2000/01/rdf-schema#label>	"Talana"	
<http://dbpedia.org/resource/Norfolk_Island>	<http://www.w3.org/2000/01/rdf-schema#label>	"Norfolk Island"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0553>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete_Circumpolar people"	
<http://purl.obolibrary.org/obo/HANCESTRO_0784>	<http://www.w3.org/2000/01/rdf-schema#label>	"Balochi in Pakistan (SGDP)"	
<http://dbpedia.org/resource/Armenia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Armenia"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0770>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bedouin in Negev, Israel (HGDP)"	
<http://dbpedia.org/resource/Uganda>	<http://www.w3.org/2000/01/rdf-schema#label>	"Uganda"@en	
<http://dbpedia.org/resource/Myanmar>	<http://www.w3.org/2000/01/rdf-schema#label>	"Myanmar"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0778>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bougainville in Papua New Guinea (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0322>	<http://www.w3.org/2000/01/rdf-schema#label>	"Finnish founder"@en	
<http://dbpedia.org/resource/Macau>	<http://www.w3.org/2000/01/rdf-schema#label>	"Macau"	
<http://dbpedia.org/resource/Kuwait>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kuwait"@en	
<http://dbpedia.org/resource/Guam>	<http://www.w3.org/2000/01/rdf-schema#label>	"Guam"@en	
<http://dbpedia.org/resource/Federated_States_of_Micronesia>	<http://www.w3.org/2000/01/rdf-schema#label>	"Micronesia (Federated States of)"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0574>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pacific Islander"	
<http://dbpedia.org/resource/South_Sudan>	<http://www.w3.org/2000/01/rdf-schema#label>	"South Sudan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0797>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pathan in Pakistan (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0343>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kyrgyzstani"@en	
<http://dbpedia.org/resource/Philippines>	<http://www.w3.org/2000/01/rdf-schema#label>	"Philippines"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0335>	<http://www.w3.org/2000/01/rdf-schema#label>	"Barbadian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0566>	<http://www.w3.org/2000/01/rdf-schema#label>	"undefined ancestry population"	
<http://purl.obolibrary.org/obo/HANCESTRO_0552>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aboriginal Australian"	
<http://purl.obolibrary.org/obo/HANCESTRO_0783>	<http://www.w3.org/2000/01/rdf-schema#label>	"Papuan in Papua New Guinea (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0590>	<http://www.w3.org/2000/01/rdf-schema#label>	"European American"	
<http://dbpedia.org/resource/Republic_of_the_Congo>	<http://www.w3.org/2000/01/rdf-schema#label>	"Republic of the Congo"	
<http://purl.obolibrary.org/obo/HANCESTRO_0722>	<http://www.w3.org/2000/01/rdf-schema#label>	"Northern Han in China (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0321>	<http://www.w3.org/2000/01/rdf-schema#label>	"Finnish"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0582>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tibetan"	
<http://purl.obolibrary.org/obo/HANCESTRO_0664>	<http://www.w3.org/2000/01/rdf-schema#label>	"Gambian in Western Division, The Gambia - Mandinka (GGVP)"	
<http://dbpedia.org/resource/Réunion>	<http://www.w3.org/2000/01/rdf-schema#label>	"Réunion"@en	
<http://dbpedia.org/resource/Anguilla>	<http://www.w3.org/2000/01/rdf-schema#label>	"Anguilla"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0433>	<http://www.w3.org/2000/01/rdf-schema#label>	"Azerbaijani"@en	
<http://dbpedia.org/resource/Iraq>	<http://www.w3.org/2000/01/rdf-schema#label>	"Iraq"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0351>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bosnian or Herzegovinian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0359>	<http://www.w3.org/2000/01/rdf-schema#label>	"Danish"@en	
<http://purl.obolibrary.org/obo/GAZ_00000013>	<http://www.w3.org/2000/01/rdf-schema#label>	"continent"	
<http://purl.obolibrary.org/obo/HANCESTRO_0738>	<http://www.w3.org/2000/01/rdf-schema#label>	"Japanese in Japan (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0735>	<http://www.w3.org/2000/01/rdf-schema#label>	"Daur in China (SGDP)"	
<http://dbpedia.org/resource/France>	<http://www.w3.org/2000/01/rdf-schema#label>	"France"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0372>	<http://www.w3.org/2000/01/rdf-schema#label>	"Liechtensteiner"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0677>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mixe in Mexico (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0504>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cape Verdean"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0600>	<http://www.w3.org/2000/01/rdf-schema#label>	"geographic descriptor"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0831>	<http://www.w3.org/2000/01/rdf-schema#label>	"North Ossetian in Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0595>	<http://www.w3.org/2000/01/rdf-schema#label>	"Inuit"	
<http://dbpedia.org/resource/Cameroon>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cameroon"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0801>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yadava in India (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0861>	<http://www.w3.org/2000/01/rdf-schema#label>	"Black British"	
<http://purl.obolibrary.org/obo/HANCESTRO_0364>	<http://www.w3.org/2000/01/rdf-schema#label>	"German"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0581>	<http://www.w3.org/2000/01/rdf-schema#label>	"Uygur"	
<http://purl.obolibrary.org/obo/HANCESTRO_0446>	<http://www.w3.org/2000/01/rdf-schema#label>	"Palestinian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0630>	<http://www.w3.org/2000/01/rdf-schema#label>	"Arhuaco"	
<http://dbpedia.org/resource/Equatorial_Guinea>	<http://www.w3.org/2000/01/rdf-schema#label>	"Equatorial Guinea"@en	
<http://dbpedia.org/resource/Spain>	<http://www.w3.org/2000/01/rdf-schema#label>	"Spain"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0638>	<http://www.w3.org/2000/01/rdf-schema#label>	"San in Namibia (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0855>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mixe"	
<http://dbpedia.org/resource/Kenya>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kenya"@en	
<http://dbpedia.org/resource/Hungary>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hungary"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0350>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bermudian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0476>	<http://www.w3.org/2000/01/rdf-schema#label>	"Papua New Guinean"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0462>	<http://www.w3.org/2000/01/rdf-schema#label>	"British"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0693>	<http://www.w3.org/2000/01/rdf-schema#label>	"Eskimo Sireniki in Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0685>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mexican Ancestry in Los Angeles, California (1KGP)"	
<http://dbpedia.org/resource/Eritrea>	<http://www.w3.org/2000/01/rdf-schema#label>	"Eritrea"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0624>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aymara"@en	
<http://dbpedia.org/resource/Italy>	<http://www.w3.org/2000/01/rdf-schema#label>	"Italy"@en	
<http://dbpedia.org/resource/Ghana>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ghana"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0380>	<http://www.w3.org/2000/01/rdf-schema#label>	"Norwegian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0454>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aruban"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0003>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete country"	
<http://dbpedia.org/resource/Morocco>	<http://www.w3.org/2000/01/rdf-schema#label>	"Morocco"@en	
<http://dbpedia.org/resource/Sint_Maarten>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sint Maarten"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0643>	<http://www.w3.org/2000/01/rdf-schema#label>	"Biaka in Central African Republic (SGDP)"	
<http://dbpedia.org/resource/Monaco>	<http://www.w3.org/2000/01/rdf-schema#label>	"Monaco"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0860>	<http://www.w3.org/2000/01/rdf-schema#label>	"Asian British"	
<http://purl.obolibrary.org/obo/HANCESTRO_0868>	<http://www.w3.org/2000/01/rdf-schema#label>	"Northern Irish"	
<http://dbpedia.org/resource/Bhutan>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bhutan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0637>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mbuti in Democratic Republic of Congo (HGDP)"	
<http://dbpedia.org/resource/Guinea>	<http://www.w3.org/2000/01/rdf-schema#label>	"Guinea"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0489>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nepalese"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0852>	<http://www.w3.org/2000/01/rdf-schema#label>	"Middle Eastern"	
<http://purl.obolibrary.org/obo/HANCESTRO_0016>	<http://www.w3.org/2000/01/rdf-schema#label>	"African American or Afro-Caribbean ancestry"	
<http://dbpedia.org/resource/Faeroe_Islands>	<http://www.w3.org/2000/01/rdf-schema#label>	"Faeroe Islands"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0475>	<http://www.w3.org/2000/01/rdf-schema#label>	"Palauan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0749>	<http://www.w3.org/2000/01/rdf-schema#label>	"Uygur in China (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0510>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mauritanian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0393>	<http://www.w3.org/2000/01/rdf-schema#label>	"Swedish"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0467>	<http://www.w3.org/2000/01/rdf-schema#label>	"French Polynesian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0414>	<http://www.w3.org/2000/01/rdf-schema#label>	"Martinican"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0698>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mongola in China (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0684>	<http://www.w3.org/2000/01/rdf-schema#label>	"Colombian in Medellin, Colombia (1KGP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0518>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Somali"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0621>	<http://www.w3.org/2000/01/rdf-schema#label>	"Piapoco"@en	
<http://dbpedia.org/resource/Uzbekistan>	<http://www.w3.org/2000/01/rdf-schema#label>	"Uzbekistan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0829>	<http://www.w3.org/2000/01/rdf-schema#label>	"Jordanian in Jordan (SGDP)"	
<http://dbpedia.org/resource/Channel_Islands>	<http://www.w3.org/2000/01/rdf-schema#label>	"Channel Islands"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0815>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chechen in Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0378>	<http://www.w3.org/2000/01/rdf-schema#label>	"New Zealander"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0491>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sri Lankan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0002>	<http://www.w3.org/2000/01/rdf-schema#label>	"region"	
<http://dbpedia.org/resource/Tokelau>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tokelau"@en	
<http://dbpedia.org/resource/Singapore>	<http://www.w3.org/2000/01/rdf-schema#label>	"Singapore"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0807>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abkhasian in Abkhazia or Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0645>	<http://www.w3.org/2000/01/rdf-schema#label>	"Esan in Nigeria (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0032>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Oceania"	
<http://dbpedia.org/resource/Netherlands>	<http://www.w3.org/2000/01/rdf-schema#label>	"Netherlands"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0587>	<http://www.w3.org/2000/01/rdf-schema#label>	"Martu Australian Aboriginal"	
<http://purl.obolibrary.org/obo/HANCESTRO_0483>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ni-Vanuato"@en	
<http://dbpedia.org/resource/Belarus>	<http://www.w3.org/2000/01/rdf-schema#label>	"Belarus"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0010>	<http://www.w3.org/2000/01/rdf-schema#label>	"African ancestry"	
<http://dbpedia.org/resource/American_Samoa>	<http://www.w3.org/2000/01/rdf-schema#label>	"American Samoa"@en	
<http://dbpedia.org/resource/Cocos_(Keeling)_Islands>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cocos (Keeling) Islands"	
<http://purl.obolibrary.org/obo/HANCESTRO_0732>	<http://www.w3.org/2000/01/rdf-schema#label>	"Burmese in Myanmar (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0828>	<http://www.w3.org/2000/01/rdf-schema#label>	"Iraqi Jew in Iraq (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0501>	<http://www.w3.org/2000/01/rdf-schema#label>	"Timorese"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0496>	<http://www.w3.org/2000/01/rdf-schema#label>	"Malaysian"	
<http://purl.obolibrary.org/obo/HANCESTRO_0045>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Northern Europe"	
<http://purl.obolibrary.org/obo/HANCESTRO_0547>	<http://www.w3.org/2000/01/rdf-schema#label>	"Togolese"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0762>	<http://www.w3.org/2000/01/rdf-schema#label>	"Russian in Russia (HGDP)"	
<http://dbpedia.org/resource/South_Africa>	<http://www.w3.org/2000/01/rdf-schema#label>	"South Africa"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0405>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cuban"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0709>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pathan in Pakistan (HGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0369>	<http://www.w3.org/2000/01/rdf-schema#label>	"Icelandic"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0031>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Europe"	
<http://purl.obolibrary.org/obo/HANCESTRO_0702>	<http://www.w3.org/2000/01/rdf-schema#label>	"Yakut in Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0023>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mongolian"	
<http://purl.obolibrary.org/obo/HANCESTRO_0482>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tuvaluan"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0316>	<http://www.w3.org/2000/01/rdf-schema#label>	"Amish"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0531>	<http://www.w3.org/2000/01/rdf-schema#label>	"Djiboutian"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0539>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mosotho"@en	
<http://dbpedia.org/resource/Netherlands_Antilles>	<http://www.w3.org/2000/01/rdf-schema#label>	"Netherlands Antilles"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0756>	<http://www.w3.org/2000/01/rdf-schema#label>	"Han Chinese South (1KGP)"	
<http://dbpedia.org/resource/Mauretania>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mauritania"	
<http://purl.obolibrary.org/obo/HANCESTRO_0836>	<http://www.w3.org/2000/01/rdf-schema#label>	"Russian in Russia (SGDP)"	
<http://purl.obolibrary.org/obo/HANCESTRO_0399>	<http://www.w3.org/2000/01/rdf-schema#label>	"Belizean"@en	
<http://purl.obolibrary.org/obo/HANCESTRO_0525>	<http://www.w3.org/2000/01/rdf-schema#label>	"Burkinabe"@en	
